submitit INFO (2025-11-30 00:34:06,266) - Starting with JobEnvironment(job_id=13362368, hostname=sphinx9.stanford.edu, local_rank=0(1), node=0(1), global_rank=0(1))
submitit INFO (2025-11-30 00:34:06,266) - Loading pickle: /sphinx/u/cye/emergent-doordash/christine_experiments/20251113/submitit_logs/13362368_submitted.pkl
---------------------------------------------------------                       
mmlu_0_shot (14,042 samples): vllm/Qwen2.5-0.5B-Instruct                        
max_connections: 32, temperature: 0.0, fail_on_error: False, retry_on_error: 10,
dataset: cais/mmlu                                                              
---------------------------------------------------------                       
                                                                                
Steps:  31/14042   0% | Samples:   1/14042 | accuracy:  n/a | vllm:  1/32 | HTTP retries: 0
Steps: 454/14042   3% | Samples: 443/14042 | accuracy: 0.41 | vllm: 20/32 | HTTP retries: 1,534
Steps: 464/14042   3% | Samples: 455/14042 | accuracy: 0.42 | vllm: 22/32 | HTTP retries: 1,589
Steps: 487/14042   3% | Samples: 465/14042 | accuracy: 0.42 | vllm:  8/32 | HTTP retries: 1,630
Steps: 488/14042   3% | Samples: 466/14042 | accuracy: 0.43 | vllm:  9/32 | HTTP retries: 1,631
Steps: 503/14042   3% | Samples: 482/14042 | accuracy: 0.43 | vllm:  8/32 | HTTP retries: 1,652
Steps: 515/14042   3% | Samples: 504/14042 | accuracy: 0.43 | vllm: 20/32 | HTTP retries: 1,723
Steps: 532/14042   3% | Samples: 516/14042 | accuracy: 0.43 | vllm: 15/32 | HTTP retries: 1,791
Steps: 537/14042   3% | Samples: 533/14042 | accuracy: 0.43 | vllm: 27/32 | HTTP retries: 1,855
Steps: 553/14042   3% | Samples: 538/14042 | accuracy: 0.43 | vllm: 16/32 | HTTP retries: 1,883
Steps: 560/14042   3% | Samples: 550/14042 | accuracy: 0.43 | vllm: 19/32 | HTTP retries: 1,907
Steps: 575/14042   4% | Samples: 561/14042 | accuracy: 0.44 | vllm: 17/32 | HTTP retries: 1,967
Steps: 592/14042   4% | Samples: 576/14042 | accuracy: 0.44 | vllm: 15/32 | HTTP retries: 2,057
Steps: 604/14042   4% | Samples: 593/14042 | accuracy: 0.44 | vllm: 20/32 | HTTP retries: 2,146
Steps: 610/14042   4% | Samples: 605/14042 | accuracy: 0.44 | vllm: 26/32 | HTTP retries: 2,218
Steps: 630/14042   4% | Samples: 611/14042 | accuracy: 0.44 | vllm: 12/32 | HTTP retries: 2,256
Steps: 641/14042   4% | Samples: 622/14042 | accuracy: 0.44 | vllm: 10/32 | HTTP retries: 2,276
Steps: 653/14042   4% | Samples: 642/14042 | accuracy: 0.44 | vllm: 19/32 | HTTP retries: 2,339
Steps: 654/14042   4% | Samples: 643/14042 | accuracy: 0.44 | vllm: 20/32 | HTTP retries: 2,339
Steps: 671/14042   4% | Samples: 655/14042 | accuracy: 0.44 | vllm: 14/32 | HTTP retries: 2,393
Steps: 672/14042   4% | Samples: 656/14042 | accuracy: 0.44 | vllm: 15/32 | HTTP retries: 2,398
Steps: 674/14042   4% | Samples: 672/14042 | accuracy: 0.44 | vllm: 25/32 | HTTP retries: 2,435
Steps: 676/14042   4% | Samples: 673/14042 | accuracy: 0.44 | vllm: 28/32 | HTTP retries: 2,445
Steps: 697/14042   4% | Samples: 677/14042 | accuracy: 0.44 | vllm: 11/32 | HTTP retries: 2,473
Steps: 700/14042   4% | Samples: 690/14042 | accuracy: 0.44 | vllm: 19/32 | HTTP retries: 2,500
Steps: 713/14042   5% | Samples: 701/14042 | accuracy: 0.44 | vllm: 18/32 | HTTP retries: 2,544
Steps: 714/14042   5% | Samples: 702/14042 | accuracy: 0.44 | vllm: 19/32 | HTTP retries: 2,544
Steps: 726/14042   5% | Samples: 715/14042 | accuracy: 0.44 | vllm: 20/32 | HTTP retries: 2,599
Steps: 749/14042   5% | Samples: 727/14042 | accuracy: 0.44 | vllm:  9/32 | HTTP retries: 2,645
Steps: 752/14042   5% | Samples: 736/14042 | accuracy: 0.44 | vllm: 15/32 | HTTP retries: 2,670
Steps: 753/14042   5% | Samples: 745/14042 | accuracy: 0.45 | vllm: 21/32 | HTTP retries: 2,681
Steps: 759/14042   5% | Samples: 754/14042 | accuracy: 0.45 | vllm: 26/32 | HTTP retries: 2,727
Steps: 762/14042   5% | Samples: 760/14042 | accuracy: 0.45 | vllm: 29/32 | HTTP retries: 2,782
Steps: 765/14042   5% | Samples: 763/14042 | accuracy: 0.44 | vllm: 29/32 | HTTP retries: 2,810
Steps: 766/14042   5% | Samples: 766/14042 | accuracy: 0.44 | vllm: 31/32 | HTTP retries: 2,810
Steps: 776/14042   5% | Samples: 767/14042 | accuracy: 0.44 | vllm: 21/32 | HTTP retries: 2,830
Steps: 777/14042   5% | Samples: 769/14042 | accuracy: 0.44 | vllm: 23/32 | HTTP retries: 2,842
Steps: 779/14042   5% | Samples: 776/14042 | accuracy: 0.44 | vllm: 23/32 | HTTP retries: 2,856
Steps: 782/14042   5% | Samples: 777/14042 | accuracy: 0.44 | vllm: 24/32 | HTTP retries: 2,857
Steps: 790/14042   5% | Samples: 783/14042 | accuracy: 0.44 | vllm: 24/32 | HTTP retries: 2,899
Steps: 801/14042   5% | Samples: 791/14042 | accuracy: 0.44 | vllm: 21/32 | HTTP retries: 2,932
Steps: 814/14042   5% | Samples: 802/14042 | accuracy: 0.44 | vllm: 18/32 | HTTP retries: 2,983
Steps: 815/14042   5% | Samples: 803/14042 | accuracy: 0.44 | vllm: 19/32 | HTTP retries: 2,983
Steps: 819/14042   5% | Samples: 816/14042 | accuracy: 0.44 | vllm: 28/32 | HTTP retries: 3,024
Steps: 832/14042   5% | Samples: 820/14042 | accuracy: 0.44 | vllm: 19/32 | HTTP retries: 3,046
Steps: 845/14042   6% | Samples: 833/14042 | accuracy: 0.43 | vllm: 19/32 | HTTP retries: 3,077
Steps: 849/14042   6% | Samples: 846/14042 | accuracy: 0.43 | vllm: 28/32 | HTTP retries: 3,132
Steps: 866/14042   6% | Samples: 850/14042 | accuracy: 0.43 | vllm: 15/32 | HTTP retries: 3,153
Steps: 874/14042   6% | Samples: 867/14042 | accuracy: 0.43 | vllm: 24/32 | HTTP retries: 3,200
Steps: 893/14042   6% | Samples: 875/14042 | accuracy: 0.43 | vllm: 13/32 | HTTP retries: 3,235
Steps: 894/14042   6% | Samples: 877/14042 | accuracy: 0.43 | vllm: 13/32 | HTTP retries: 3,245
Steps: 897/14042   6% | Samples: 878/14042 | accuracy: 0.43 | vllm: 12/32 | HTTP retries: 3,249
Steps: 902/14042   6% | Samples: 890/14042 | accuracy: 0.43 | vllm: 16/32 | HTTP retries: 3,252
Steps: 903/14042   6% | Samples: 892/14042 | accuracy: 0.43 | vllm: 18/32 | HTTP retries: 3,255
Steps: 916/14042   6% | Samples: 904/14042 | accuracy: 0.43 | vllm: 18/32 | HTTP retries: 3,299
Steps: 917/14042   6% | Samples: 905/14042 | accuracy: 0.43 | vllm: 19/32 | HTTP retries: 3,299
Steps: 923/14042   6% | Samples: 914/14042 | accuracy: 0.43 | vllm: 20/32 | HTTP retries: 3,317
Steps: 930/14042   6% | Samples: 918/14042 | accuracy: 0.43 | vllm: 19/32 | HTTP retries: 3,322
Steps: 934/14042   6% | Samples: 931/14042 | accuracy: 0.43 | vllm: 28/32 | HTTP retries: 3,386
Steps: 959/14042   6% | Samples: 935/14042 | accuracy: 0.43 | vllm:  7/32 | HTTP retries: 3,411
Steps: 965/14042   6% | Samples: 948/14042 | accuracy: 0.43 | vllm: 12/32 | HTTP retries: 3,430
Steps: 981/14042   6% | Samples: 966/14042 | accuracy: 0.43 | vllm: 16/32 | HTTP retries: 3,476
Steps: 994/14042   7% | Samples: 977/14042 | accuracy: 0.43 | vllm: 12/32 | HTTP retries: 3,487
Steps: 996/14042   7% | Samples: 982/14042 | accuracy: 0.43 | vllm: 17/32 | HTTP retries: 3,490
Steps: 1019/14042   7% | Samples: 997/14042 | accuracy: 0.43 | vllm:  9/32 | HTTP retries: 3,551
Steps: 1029/14042   7% | Samples: 1014/14042 | accuracy: 0.43 | vllm: 14/32 | HTTP retries: 3,577
Steps: 1048/14042   7% | Samples: 1030/14042 | accuracy: 0.42 | vllm: 13/32 | HTTP retries: 3,627
Steps: 1058/14042   7% | Samples: 1049/14042 | accuracy: 0.42 | vllm: 22/32 | HTTP retries: 3,674
Steps: 1086/14042   7% | Samples: 1059/14042 | accuracy: 0.42 | vllm:  4/32 | HTTP retries: 3,711
[11/30/25 03:21:18] WARNING  Sample error (id: 1093, epoch: 1):       run.py:650
                             Connection error.). Sample will be                 
                             retried.                                           
Steps: 1091/14042   7% | Samples: 1068/14042 | accuracy: 0.42 | vllm:  8/32 | HTTP retries: 3,732
Steps: 1097/14042   7% | Samples: 1088/14042 | accuracy: 0.42 | vllm: 20/32 | HTTP retries: 3,741
Steps: 1116/14042   7% | Samples: 1098/14042 | accuracy: 0.42 | vllm: 13/32 | HTTP retries: 3,788
Steps: 1125/14042   8% | Samples: 1109/14042 | accuracy: 0.42 | vllm: 13/32 | HTTP retries: 3,811
Steps: 1145/14042   8% | Samples: 1126/14042 | accuracy: 0.42 | vllm: 12/32 | HTTP retries: 3,864
Steps: 1151/14042   8% | Samples: 1146/14042 | accuracy: 0.42 | vllm: 26/32 | HTTP retries: 3,922
Steps: 1159/14042   8% | Samples: 1152/14042 | accuracy: 0.42 | vllm: 23/32 | HTTP retries: 3,958
Steps: 1160/14042   8% | Samples: 1154/14042 | accuracy: 0.42 | vllm: 25/32 | HTTP retries: 3,958
Steps: 1162/14042   8% | Samples: 1161/14042 | accuracy: 0.42 | vllm: 30/32 | HTTP retries: 4,003
Steps: 1186/14042   8% | Samples: 1163/14042 | accuracy: 0.42 | vllm:  8/32 | HTTP retries: 4,026
Steps: 1195/14042   8% | Samples: 1178/14042 | accuracy: 0.42 | vllm:  8/32 | HTTP retries: 4,040
Steps: 1199/14042   8% | Samples: 1180/14042 | accuracy: 0.42 | vllm: 10/32 | HTTP retries: 4,040
Steps: 1205/14042   8% | Samples: 1200/14042 | accuracy: 0.43 | vllm: 26/32 | HTTP retries: 4,108
Steps: 1221/14042   8% | Samples: 1206/14042 | accuracy: 0.43 | vllm: 16/32 | HTTP retries: 4,136
Steps: 1236/14042   8% | Samples: 1218/14042 | accuracy: 0.43 | vllm: 11/32 | HTTP retries: 4,153
Steps: 1242/14042   8% | Samples: 1237/14042 | accuracy: 0.42 | vllm: 26/32 | HTTP retries: 4,221
Steps: 1246/14042   8% | Samples: 1243/14042 | accuracy: 0.42 | vllm: 28/32 | HTTP retries: 4,262
Steps: 1274/14042   9% | Samples: 1247/14042 | accuracy: 0.42 | vllm:  4/32 | HTTP retries: 4,279
Steps: 1286/14042   9% | Samples: 1264/14042 | accuracy: 0.42 | vllm:  7/32 | HTTP retries: 4,292
Steps: 1302/14042   9% | Samples: 1287/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 4,363
Steps: 1314/14042   9% | Samples: 1303/14042 | accuracy: 0.42 | vllm: 20/32 | HTTP retries: 4,448
Steps: 1339/14042   9% | Samples: 1315/14042 | accuracy: 0.42 | vllm:  6/32 | HTTP retries: 4,494
Steps: 1340/14042   9% | Samples: 1316/14042 | accuracy: 0.42 | vllm:  7/32 | HTTP retries: 4,494
Steps: 1346/14042   9% | Samples: 1332/14042 | accuracy: 0.42 | vllm: 15/32 | HTTP retries: 4,525
Steps: 1348/14042   9% | Samples: 1337/14042 | accuracy: 0.42 | vllm: 18/32 | HTTP retries: 4,526
Steps: 1374/14042   9% | Samples: 1349/14042 | accuracy: 0.42 | vllm:  6/32 | HTTP retries: 4,572
Steps: 1377/14042   9% | Samples: 1368/14042 | accuracy: 0.41 | vllm: 12/32 | HTTP retries: 4,602
Steps: 1385/14042   9% | Samples: 1370/14042 | accuracy: 0.41 | vllm: 14/32 | HTTP retries: 4,604
Steps: 1401/14042   9% | Samples: 1386/14042 | accuracy: 0.41 | vllm: 16/32 | HTTP retries: 4,670
Steps: 1402/14042   9% | Samples: 1402/14042 | accuracy: 0.42 | vllm: 31/32 | HTTP retries: 4,744
Steps: 1415/14042  10% | Samples: 1403/14042 | accuracy: 0.42 | vllm: 19/32 | HTTP retries: 4,769
Steps: 1429/14042  10% | Samples: 1416/14042 | accuracy: 0.41 | vllm: 18/32 | HTTP retries: 4,833
Steps: 1444/14042  10% | Samples: 1430/14042 | accuracy: 0.42 | vllm: 17/32 | HTTP retries: 4,896
Steps: 1456/14042  10% | Samples: 1445/14042 | accuracy: 0.42 | vllm: 20/32 | HTTP retries: 4,962
Steps: 1470/14042  10% | Samples: 1457/14042 | accuracy: 0.42 | vllm: 18/32 | HTTP retries: 5,025
Steps: 1485/14042  10% | Samples: 1471/14042 | accuracy: 0.42 | vllm: 17/32 | HTTP retries: 5,090
Steps: 1501/14042  10% | Samples: 1486/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 5,152
Steps: 1515/14042  10% | Samples: 1502/14042 | accuracy: 0.42 | vllm: 18/32 | HTTP retries: 5,218
Steps: 1528/14042  10% | Samples: 1516/14042 | accuracy: 0.42 | vllm: 19/32 | HTTP retries: 5,305
Steps: 1534/14042  10% | Samples: 1529/14042 | accuracy: 0.42 | vllm: 26/32 | HTTP retries: 5,362
Steps: 1549/14042  11% | Samples: 1535/14042 | accuracy: 0.42 | vllm: 17/32 | HTTP retries: 5,393
Steps: 1553/14042  11% | Samples: 1547/14042 | accuracy: 0.42 | vllm: 23/32 | HTTP retries: 5,433
Steps: 1563/14042  11% | Samples: 1554/14042 | accuracy: 0.42 | vllm: 22/32 | HTTP retries: 5,478
Steps: 1585/14042  11% | Samples: 1564/14042 | accuracy: 0.42 | vllm: 10/32 | HTTP retries: 5,534
Steps: 1592/14042  11% | Samples: 1581/14042 | accuracy: 0.42 | vllm: 18/32 | HTTP retries: 5,567
Steps: 1595/14042  11% | Samples: 1586/14042 | accuracy: 0.42 | vllm: 22/32 | HTTP retries: 5,574
Steps: 1611/14042  11% | Samples: 1596/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 5,628
Steps: 1626/14042  11% | Samples: 1612/14042 | accuracy: 0.42 | vllm: 17/32 | HTTP retries: 5,694
Steps: 1642/14042  11% | Samples: 1627/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 5,769
Steps: 1658/14042  11% | Samples: 1643/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 5,843
Steps: 1676/14042  11% | Samples: 1659/14042 | accuracy: 0.42 | vllm: 14/32 | HTTP retries: 5,908
Steps: 1677/14042  11% | Samples: 1677/14042 | accuracy: 0.42 | vllm: 31/32 | HTTP retries: 5,995
Steps: 1696/14042  12% | Samples: 1678/14042 | accuracy: 0.42 | vllm: 12/32 | HTTP retries: 6,000
Steps: 1697/14042  12% | Samples: 1679/14042 | accuracy: 0.42 | vllm: 13/32 | HTTP retries: 6,000
Steps: 1698/14042  12% | Samples: 1696/14042 | accuracy: 0.42 | vllm: 20/32 | HTTP retries: 6,042
Steps: 1705/14042  12% | Samples: 1698/14042 | accuracy: 0.42 | vllm: 24/32 | HTTP retries: 6,057
Steps: 1733/14042  12% | Samples: 1706/14042 | accuracy: 0.43 | vllm:  4/32 | HTTP retries: 6,090
Steps: 1747/14042  12% | Samples: 1734/14042 | accuracy: 0.42 | vllm: 18/32 | HTTP retries: 6,157
Steps: 1765/14042  12% | Samples: 1748/14042 | accuracy: 0.42 | vllm: 14/32 | HTTP retries: 6,224
Steps: 1771/14042  12% | Samples: 1766/14042 | accuracy: 0.42 | vllm: 26/32 | HTTP retries: 6,284
Steps: 1779/14042  12% | Samples: 1772/14042 | accuracy: 0.42 | vllm: 24/32 | HTTP retries: 6,333
Steps: 1789/14042  12% | Samples: 1780/14042 | accuracy: 0.42 | vllm: 22/32 | HTTP retries: 6,389
Steps: 1811/14042  12% | Samples: 1790/14042 | accuracy: 0.42 | vllm: 10/32 | HTTP retries: 6,428
Steps: 1819/14042  12% | Samples: 1810/14042 | accuracy: 0.42 | vllm: 20/32 | HTTP retries: 6,467
Steps: 1842/14042  13% | Samples: 1820/14042 | accuracy: 0.42 | vllm:  9/32 | HTTP retries: 6,511
Steps: 1849/14042  13% | Samples: 1831/14042 | accuracy: 0.42 | vllm: 10/32 | HTTP retries: 6,529
Steps: 1850/14042  13% | Samples: 1833/14042 | accuracy: 0.42 | vllm: 12/32 | HTTP retries: 6,530
Steps: 1865/14042  13% | Samples: 1851/14042 | accuracy: 0.42 | vllm: 17/32 | HTTP retries: 6,584
Steps: 1876/14042  13% | Samples: 1859/14042 | accuracy: 0.42 | vllm: 12/32 | HTTP retries: 6,600
Steps: 1878/14042  13% | Samples: 1865/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 6,602
Steps: 1887/14042  13% | Samples: 1879/14042 | accuracy: 0.42 | vllm: 23/32 | HTTP retries: 6,681
Steps: 1906/14042  13% | Samples: 1888/14042 | accuracy: 0.42 | vllm: 13/32 | HTTP retries: 6,721
Steps: 1914/14042  13% | Samples: 1907/14042 | accuracy: 0.42 | vllm: 24/32 | HTTP retries: 6,776
Steps: 1937/14042  13% | Samples: 1915/14042 | accuracy: 0.42 | vllm:  9/32 | HTTP retries: 6,812
Steps: 1938/14042  13% | Samples: 1925/14042 | accuracy: 0.42 | vllm: 16/32 | HTTP retries: 6,839
Steps: 1961/14042  13% | Samples: 1939/14042 | accuracy: 0.42 | vllm:  9/32 | HTTP retries: 6,893
Steps: 1965/14042  13% | Samples: 1955/14042 | accuracy: 0.42 | vllm: 19/32 | HTTP retries: 6,925
Steps: 1986/14042  14% | Samples: 1966/14042 | accuracy: 0.42 | vllm: 11/32 | HTTP retries: 6,989
Steps: 1998/14042  14% | Samples: 1979/14042 | accuracy: 0.41 | vllm: 10/32 | HTTP retries: 7,013
Steps: 2015/14042  14% | Samples: 1999/14042 | accuracy: 0.41 | vllm: 15/32 | HTTP retries: 7,096
submitit WARNING (2025-11-30 06:35:11,030) - Bypassing signal SIGTERM
[11/30/25 06:35:11] WARNING  Bypassing signal SIGTERM     job_environment.py:196
