model,hint,owner_label,owner_counts_json,owner_rollouts_total
Qwen2.5-32B-Instruct,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-32B-Instruct,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.7,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-3B-Instruct,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.7,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen2.5-7B-Instruct,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-0.6B,0.0,mixed,"{""christine"": 116, ""mine"": 862, ""unknown"": 0}",978
Qwen3-0.6B,0.1,mixed,"{""christine"": 63, ""mine"": 916, ""unknown"": 0}",979
Qwen3-0.6B,0.2,mixed,"{""christine"": 68, ""mine"": 1038, ""unknown"": 0}",1106
Qwen3-0.6B,0.3,mixed,"{""christine"": 52, ""mine"": 899, ""unknown"": 0}",951
Qwen3-0.6B,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-0.6B,0.5,mixed,"{""christine"": 109, ""mine"": 1251, ""unknown"": 0}",1360
Qwen3-0.6B,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-0.6B,0.7,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-0.6B,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-0.6B,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-0.6B,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-1.7B,0.0,mixed,"{""christine"": 50, ""mine"": 430, ""unknown"": 0}",480
Qwen3-1.7B,0.1,mixed,"{""christine"": 57, ""mine"": 430, ""unknown"": 0}",487
Qwen3-1.7B,0.2,mixed,"{""christine"": 60, ""mine"": 430, ""unknown"": 0}",490
Qwen3-1.7B,0.3,mixed,"{""christine"": 2, ""mine"": 430, ""unknown"": 0}",432
Qwen3-1.7B,0.4,mixed,"{""christine"": 9, ""mine"": 430, ""unknown"": 0}",439
Qwen3-1.7B,0.5,mixed,"{""christine"": 35, ""mine"": 430, ""unknown"": 0}",465
Qwen3-1.7B,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-1.7B,0.7,mixed,"{""christine"": 46, ""mine"": 430, ""unknown"": 0}",476
Qwen3-1.7B,0.8,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-1.7B,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-1.7B,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-14B,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-14B,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-14B,0.2,mixed,"{""christine"": 8, ""mine"": 430, ""unknown"": 0}",438
Qwen3-14B,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-14B,0.4,mixed,"{""christine"": 21, ""mine"": 707, ""unknown"": 0}",728
Qwen3-14B,0.5,mixed,"{""christine"": 13, ""mine"": 516, ""unknown"": 0}",529
Qwen3-14B,0.6,mixed,"{""christine"": 15, ""mine"": 559, ""unknown"": 0}",574
Qwen3-14B,0.7,mixed,"{""christine"": 3, ""mine"": 560, ""unknown"": 0}",563
Qwen3-14B,0.8,mixed,"{""christine"": 7, ""mine"": 473, ""unknown"": 0}",480
Qwen3-14B,0.9,mixed,"{""christine"": 31, ""mine"": 473, ""unknown"": 0}",504
Qwen3-14B,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-32B,0.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,0.1,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,0.2,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,0.3,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,0.4,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,0.5,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,0.6,mine,"{""christine"": 0, ""mine"": 460, ""unknown"": 0}",460
Qwen3-32B,0.7,mine,"{""christine"": 0, ""mine"": 579, ""unknown"": 0}",579
Qwen3-32B,0.8,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,0.9,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-32B,1.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
Qwen3-4B,0.0,mixed,"{""christine"": 16, ""mine"": 430, ""unknown"": 0}",446
Qwen3-4B,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-4B,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-4B,0.3,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-4B,0.4,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-4B,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-4B,0.6,mixed,"{""christine"": 80, ""mine"": 430, ""unknown"": 0}",510
Qwen3-4B,0.7,mixed,"{""christine"": 79, ""mine"": 430, ""unknown"": 0}",509
Qwen3-4B,0.8,mixed,"{""christine"": 590, ""mine"": 473, ""unknown"": 0}",1063
Qwen3-4B,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-4B,1.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-8B,0.0,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-8B,0.1,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-8B,0.2,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-8B,0.3,mixed,"{""christine"": 126, ""mine"": 430, ""unknown"": 0}",556
Qwen3-8B,0.4,mixed,"{""christine"": 68, ""mine"": 430, ""unknown"": 0}",498
Qwen3-8B,0.5,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-8B,0.6,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-8B,0.7,christine,"{""christine"": 592, ""mine"": 0, ""unknown"": 0}",592
Qwen3-8B,0.8,mixed,"{""christine"": 171, ""mine"": 471, ""unknown"": 0}",642
Qwen3-8B,0.9,christine,"{""christine"": 430, ""mine"": 0, ""unknown"": 0}",430
Qwen3-8B,1.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.1,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.2,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.3,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.4,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.5,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.6,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.7,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.8,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,0.9,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-12b-it,1.0,mine,"{""christine"": 0, ""mine"": 440, ""unknown"": 0}",440
gemma-3-27b-it,0.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.1,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.2,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.3,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.4,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.5,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.6,mine,"{""christine"": 0, ""mine"": 516, ""unknown"": 0}",516
gemma-3-27b-it,0.7,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.8,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,0.9,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-27b-it,1.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.1,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.2,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.3,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.4,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.5,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.6,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.7,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.8,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,0.9,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
gemma-3-4b-it,1.0,mine,"{""christine"": 0, ""mine"": 430, ""unknown"": 0}",430
