model,hint,sample_id,rollout_id,epoch,source_owner,target,old_token_len,new_token_len,was_truncated,old_is_correct,new_is_correct
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_ff35ea6eac4df999bdac08fe663990385174832a,6,suzeva,944,804,804,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_b9794d5e098e65abb00106c35ba89603f4dfd7c6,7,suzeva,944,8789,8789,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_bb0011c8e2a6613135deab68d485ee46549d6904,8,suzeva,944,2756,2756,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-10,rollout_d877e66c302efba9386d9b2a6701b108da3ac466,9,suzeva,944,1229,1229,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_8db0babc1833500b68d82c680bb8f15e5dc47e5c,1,suzeva,235,1036,1036,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_b6f66701542f428cc2f2f78f2cbcfd195a5d588d,10,suzeva,235,1098,1098,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_00a47136346502fb98ee859ce5aca1d1ef18ae8a,2,suzeva,235,368,368,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_f3e83464c8ef2110f030e9c5cf7a4ac3501eab83,3,suzeva,235,479,479,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_b0a25e3993865d880dcae84f3acb0a710e8bd5dd,4,suzeva,235,745,745,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_e020183431082c49840735d7dadfe413733e7361,5,suzeva,235,1049,1049,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_33f2b247ad52d9a5c333a8ba2fc9768cb493a784,6,suzeva,235,1693,1693,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_da40438e7005e59c3876d50fb9c4292e4439a948,7,suzeva,235,1269,1269,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_8096c2f5a0415c326bbc9ead68b2e813421912b2,8,suzeva,235,556,556,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-11,rollout_ff028c51e2093472a14ec7e6e75acd9e92414d48,9,suzeva,235,2354,2354,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_8c2bb9263b981c437953bbedbad6e19dfaae5bf5,1,suzeva,75,576,576,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_872b44d9adb34f799bd0417acc9f86de08319a4b,10,suzeva,75,2342,2342,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_4eb83c6054bd184ce4fd40dea434ada138b2fe6e,2,suzeva,75,1666,1666,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_7a6b167e24d60e459c1e7014b0808ac930c60b0a,3,suzeva,75,683,683,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_15be89f06e390702e313da77d570905e53efa77e,4,suzeva,75,1909,1909,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_d5bb97f6186f2c76a91a25ae56d0b55a48e16d88,5,suzeva,75,1107,1107,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_97f94c00a846b2ed94c19d0402a0f845ae5f5330,6,suzeva,75,3050,3050,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_95e5dc46ce601d2ea133f498febcb1b4edfbd2a6,7,suzeva,75,498,498,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_c12c2995041cf28e555a3ecf106a5960c8019b4a,8,suzeva,75,1863,1863,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-12,rollout_f9123f9e6c42fc9d4d4782db6f5e1a4694cad842,9,suzeva,75,2593,2593,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_99feb3b05fefd9cb14743314eb616feb41b2cfd7,1,suzeva,125,447,447,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_8d4330f3cfbc383a12af72413447d292bf13828a,10,suzeva,125,626,626,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_2d9f477f529966277c4ea744ee0195cf99953d13,2,suzeva,125,568,568,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_bfb0f2151bd7e15b3ff281973eb39b5ae4bedd11,3,suzeva,125,886,886,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_e7aa82418681edf92bafbe100ecc132bec1e7195,4,suzeva,125,473,473,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_41472197663e5ed63174a933597c88502952a04d,5,suzeva,125,711,711,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_c6481b4505595f9b64a89090cb8509316c4bc40f,6,suzeva,125,782,782,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_90690a5e62ab13f1a97a0068a27d6e344a820743,7,suzeva,125,684,684,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_63e302771c5c510836ef398e375b7a791c1d65c4,8,suzeva,125,594,594,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-13,rollout_b7b1d1ce0bf8a3be9280bbcb82be86976ada1d7d,9,suzeva,125,617,617,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_831b645bd5d2546bff1b9efa9318aa2fa9711825,1,suzeva,608,618,618,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_53c093f68263f0a6d8e15ba5897ed4ae5eec984d,10,suzeva,608,505,505,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_b2a2adb3ed3c60e9fcd1f5cb7420f3c89b9a197d,2,suzeva,608,504,504,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_b4279e3625cba1b34c608ad431ab161e2c970a51,3,suzeva,608,915,915,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_2087f8045a4f1cdec23968b84854a5fc3d374aeb,4,suzeva,608,418,418,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_bb5a6aab2aaf5a99c74ba9f2e714a7704778a906,5,suzeva,608,643,643,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_458c0c473cee128f51ff04561e1d2d20c6d3eb28,6,suzeva,608,583,583,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_9b2b68afd24e8665b6e39863d3cade5e5dd60b30,7,suzeva,608,498,498,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_a5dc62804eb86eee759811a0244192e02f461846,8,suzeva,608,810,810,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-14,rollout_5f78b093245824d3907447d90ae0929e73c12f8c,9,suzeva,608,542,542,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_9e2c5623a029f3abaef1ab3e77d52fbed8ede40d,1,suzeva,881,668,668,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_f38bc304eda0032d53f78f435fa76b5f1a203ccc,10,suzeva,881,807,807,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_0cb2886da1ae78ffbb58e2820869979867bcdbc0,2,suzeva,881,582,582,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_232b6582cd3c4c48852acd293bb6db4f9fefc5f4,3,suzeva,881,596,596,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_c555d5f03a201c8c5305d9203c3bbe51ec72db56,4,suzeva,881,761,761,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_d80ae713eb5e693f3fef8f44b52c1235fc610434,5,suzeva,881,1044,1044,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_c0104b02ba7c633d3fd88c08fab2cf4b658130dc,6,suzeva,881,752,752,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_4a5d5b337f1e0dcecbd38614992ef57071f386f4,7,suzeva,881,649,649,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_b42a16b789c0d5a00aeba30e5f97d3fbc86f61d9,8,suzeva,881,615,615,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-2,rollout_574c3b228a15d2efba40473fdd3bdd548a5049aa,9,suzeva,881,721,721,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_cf056dfb4d2afa1dd8db505e4ce1ce911ed4fc41,1,suzeva,607,456,456,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_97563e74600c689519ed8febfb00aab5ea15eb29,10,suzeva,607,417,417,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_21845c7aa7514e180f622c0112baccb67ade96d4,2,suzeva,607,882,882,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_72a15387dd21c3b97b1e57f2be2e838727b1b973,3,suzeva,607,550,550,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_d1c0075dd393ca7e21fbaadd6ae137362c9e92ee,4,suzeva,607,377,377,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_e45af2e7fe9176dd0f55e37b8327c5dcc394be91,5,suzeva,607,476,476,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_e04d4b77eb401a8477126096aba2587afedb7e7f,6,suzeva,607,408,408,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_3602ff92ca76475e83ecf9b1c0bdc17766a0bf9c,7,suzeva,607,439,439,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_74cb80a2cd6b868b8ce3b6f8141238debff678bf,8,suzeva,607,519,519,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-3,rollout_b6feca2a5b089a14024d8a15bfe0e522a5d8f59d,9,suzeva,607,710,710,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_08cbbff1315b6725757b0744e5a588f0a24d324a,1,suzeva,12,745,745,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_4d39c4c9640f503aaaf6ccb9aa9e0152c4f55fdf,10,suzeva,12,891,891,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_a4a6b2474b9f6c75a782e283b6fe4dde461b456f,2,suzeva,12,2691,2691,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_d4181964f921f1f7793a69c24b32d4a0bdf5f67b,3,suzeva,12,582,582,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_47c03580a258c8efe03521a81a1b9d10b1fa16e8,4,suzeva,12,1148,1148,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_9afdada82f17e930c9e39152fe33805ac66a4b6e,5,suzeva,12,3719,3719,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_f2a8a2c8a6902ba2bb27efd88ac0ef82520d7547,6,suzeva,12,1134,1134,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_801479b71495c24761146041d73c83a92d66d555,7,suzeva,12,697,697,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_5b1a2d5f7b7ef460e839caa2beff50a05c2fd564,8,suzeva,12,773,773,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-4,rollout_d4453e184f18669c1679e6eccb9d0e22fef3ebe6,9,suzeva,12,1471,1471,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_71fc34649bd7d1909299906a1ef050cd71adafc4,1,suzeva,106,417,417,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_7a0aad4f70a080d965432b6c4685f7167dc46489,10,suzeva,106,492,492,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_db253f372db21bcfa2d7e6782a990d9e916ac162,2,suzeva,106,496,496,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_5c2ac081bdec1a5f6f971240c68cafa3b5622a57,3,suzeva,106,1443,1443,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_001690248d6a260b7edca83921be449cb5e46fed,4,suzeva,106,600,600,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_ec2572db5a990bc936daab3a423281e59f9d1101,5,suzeva,106,2935,2935,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_5bcfa7ac8871484a7018bd6bff7bd60207663bfe,6,suzeva,106,577,577,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_4465674a062f506f68aeb156ea659f0165180cf0,7,suzeva,106,952,952,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_50dc308a2fe8486535da63298bf9ec0a2adc77f1,8,suzeva,106,2431,2431,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-5,rollout_a3a765db7895957bf244b72c8e875ce62a4cb0d0,9,suzeva,106,1328,1328,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_603239bda5327a101611c32ee252f896066f4de6,1,suzeva,51,486,486,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_6074367d69f425274b423f4b568e6b57cb9ffc42,10,suzeva,51,664,664,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_efe5cfba688926e6ca407d4803e5e858495a065c,2,suzeva,51,368,368,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_6227a1872ab21474debee1314acbef813e934a3e,3,suzeva,51,562,562,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_fbe7e623d4d2d50c69a0b7d1b75e49e14419caa9,4,suzeva,51,1020,1020,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_9199d1add8e73f4b1384bfc9cc1e347dfec3dc2f,5,suzeva,51,760,760,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_7a492145a6749476d3d5f8ed83f187e246b5aa2d,6,suzeva,51,796,796,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_8e3647a1d817b5d5ec14c1cca202314183d8c950,7,suzeva,51,513,513,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_518f029aa8a8c162004faa1541323fd299a31298,8,suzeva,51,854,854,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-6,rollout_5cf336f37882c75224fdd5ba83213dec29f6afd9,9,suzeva,51,462,462,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_c06f30958d1ed2b5fec0c6d8bdfdb14af8d62237,1,suzeva,49,1042,1042,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_af0acfc8b331f7cf3dcfb32b323f034aa5f4528c,10,suzeva,49,573,573,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_4df62908ac5c265c0779be682ca3ee1d5e46ef72,2,suzeva,49,685,685,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_dabc972c700433a6d643e25ca3aa5b368bf4e4ef,3,suzeva,49,751,751,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_448c74f0b91e0c8038b223068201868d68a00f23,4,suzeva,49,2850,2850,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_311cd79ae52084c90bead9432599baa763f9d7bb,5,suzeva,49,1928,1928,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_2f70ca368b12494fc32aa8f4e5596d7dc8b42c33,6,suzeva,49,506,506,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_e2bc1e9fbc5b630f74d92c10f452901c0fe773cd,7,suzeva,49,3056,3056,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_d1fd9ad62bb4a3db58ab0e91e64c496c52eda198,8,suzeva,49,856,856,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-7,rollout_4aa917acf9a289ab87321bdeb9a6895644a1fdbd,9,suzeva,49,447,447,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_a9048016bbd5564f97e3a5b3b1604dcadce8453c,1,suzeva,125,745,745,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_841c1a8e0890729ae9c3a281358aba03c8ca8de4,10,suzeva,125,663,663,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_02ecb6898e881cd0d4537884b14d1a0d8a277c43,2,suzeva,125,564,564,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_fdaf114a7183c3f4352dc6a5d9759477d42ec37f,3,suzeva,125,1109,1109,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_1c53caaad55ca9e14017261dcc6cfca668987df6,4,suzeva,125,263,263,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_417305561a16533ca4371077c95db35d7aacd947,5,suzeva,125,303,303,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_7ba6ebb1fea80a82ff0773241134b8fdeee36d2f,6,suzeva,125,576,576,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_733024489619f2e50516d66d0127317296bd9931,7,suzeva,125,440,440,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_be8a965cef4e45bcd6d072d95f9afbf7742a2f12,8,suzeva,125,746,746,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-8,rollout_8d3241af788508aa3f6269a4fcfc3fae1ef01109,9,suzeva,125,905,905,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_5c16ca33201bad07d60505b130d96449b43c7f35,1,suzeva,738,736,736,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_849018fec7027e342a965b3910516c88355146eb,10,suzeva,738,607,607,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_78aa7afa2ceab764d042ef8201bc14a8b5f0df91,2,suzeva,738,17888,16000,1,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_178a99fbb807d13f20c67f49b48f4e39aa5e8e44,3,suzeva,738,1941,1941,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_b49f03f6500d07da609f27c42d434a99731d6b82,4,suzeva,738,1577,1577,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_f14556baf087146bd7680808c127fe3be75130b8,5,suzeva,738,2158,2158,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_32e408d2f048759490fc6a7f879e686933fc6647,6,suzeva,738,1000,1000,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_aac8f83a3dc403066dc8d7e016a0d82a74486ef9,7,suzeva,738,1625,1625,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_2b9d42c6c7a2956d021d6089266db3aefe719173,8,suzeva,738,1215,1215,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-I-9,rollout_60f86168efe9020793c31afc872fca9900968dea,9,suzeva,738,2235,2235,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_e315d1ab2e7c2718ae536c707fef346ad7b70f18,1,suzeva,220,347,347,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_aae8aa22874e4d6b350f4f314d45dd9c6a6c524a,10,suzeva,220,381,381,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_534a2a680a178eb21c21d2e10f70a6757205ca79,2,suzeva,220,371,371,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_b70463ff43c51aa177fa713b1bf18604ba413060,3,suzeva,220,506,506,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_032a5db6da55bdb6875a8b84cd79773755ada57a,4,suzeva,220,431,431,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_46d73e9f0f3bbf278dde58e4039a6895ae65706b,5,suzeva,220,459,459,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_7edea62a5584e3e72e8dc450905c5ea40cef38eb,6,suzeva,220,491,491,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_fd254a4d82aa3a39d64bf63aa16bbc67518c9541,7,suzeva,220,311,311,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_b1364d79fa50c7080440806e5c356cfc8cea3a97,8,suzeva,220,368,368,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-1,rollout_347527a626222cb590ccad54bb6dc68aa54356f1,9,suzeva,220,409,409,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_ef24a892c7aed90f0e0d9cf440c85c7722eb2191,1,suzeva,144,429,429,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_3911309061c41e834c3eae1725272e08d105b636,10,suzeva,144,500,500,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_e9194f6aaac9bd175c0726fd4f673ccbf22e8225,2,suzeva,144,393,393,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_eba993048dee26c869be952321699c91d01e8cfd,3,suzeva,144,780,780,0,1,1
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_4eeab6b33862dad3e91d4488a169929440c4affb,4,suzeva,144,594,594,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_84531a2eb98c633f9d0578a9ddb21d98c20d8241,5,suzeva,144,527,527,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_e35abc327b6e14a54d1547d61985587a3d5e6959,6,suzeva,144,549,549,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_b467e73e1316135198f204fdd163d00c6bab63fb,7,suzeva,144,533,533,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_c57aa6f5e24c7f79e7f8761818df03cad44fcb67,8,suzeva,144,454,454,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-10,rollout_7e784e86777bea8ed92bce71674da9cc30a75434,9,suzeva,144,556,556,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_8c8bec03ce1f890749c2939356f5d874f09140ad,1,suzeva,81,531,531,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_5f0ca34d1e3cc26d88ecda9260bfac632e63b74f,10,suzeva,81,478,478,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_03ffc3d2bafc1ef6442b27de99eb0dc0fbdcbf31,2,suzeva,81,404,404,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_c012ff3a71460307db4279991a66c34b16559d33,3,suzeva,81,1310,1310,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_2d835117620e4cb6c671ee011d6390a4a519040b,4,suzeva,81,855,855,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_b6dbe978191bf978f0ad195aa5ee99a7c346bcca,5,suzeva,81,1150,1150,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_55e3b79a3ef674690dc0f836640d99c8733c1beb,6,suzeva,81,1522,1522,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_25d2812c29af95f0cc7a5eb94fcfde94f3567348,7,suzeva,81,777,777,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_5e6ec0952131a3326bb59395d33ff12667b0c294,8,suzeva,81,632,632,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-11,rollout_5e21be2439e2a079f9d9ed123e26a8060d025977,9,suzeva,81,1155,1155,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_4266f3b10a0642841eecd126931022f8720aeb05,1,suzeva,247,774,774,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_85f441b4395c0cf7ad357230cbc4e1bb6f8fec0b,10,suzeva,247,700,700,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_0e3a0f30a81937969c889b8d10f7685974c6c978,2,suzeva,247,1037,1037,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_4812f6e5064203dd61fc349fd333c3636b13b7ab,3,suzeva,247,447,447,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_9e5c19e0c97c5062284b6b16e95791ec7ff19147,4,suzeva,247,427,427,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_05c2907da2dca8108d87518a0c6f238ccd417747,5,suzeva,247,602,602,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_ae7a4f3a77f31a64f06d34e15a54720d28396059,6,suzeva,247,1299,1299,0,0,0
Llama-3.1-70B-Instruct,0.0,2023-II-12,rollout_4c1a9935530590d5b33a77c98de6534e68939c27,7,suzeva,247,682,682,0,0,0
