model,hint,n_rollouts,old_accuracy,new_accuracy,pct_truncated,old_token_len_mean,old_token_len_max,new_token_len_mean,new_token_len_max,owner_label
Qwen2.5-32B-Instruct,0.0,430,0.11162790697674418,0.11162790697674418,0.0,787.1627906976744,2113,787.1627906976744,2113,christine
Qwen2.5-32B-Instruct,0.1,430,0.18604651162790697,0.18604651162790697,0.0,753.4046511627907,1550,753.4046511627907,1550,christine
Qwen2.5-32B-Instruct,0.2,430,0.30465116279069765,0.30465116279069765,0.0,788.4116279069767,2257,788.4116279069767,2257,christine
Qwen2.5-32B-Instruct,0.3,430,0.34186046511627904,0.34186046511627904,0.0,835.0395348837209,1837,835.0395348837209,1837,christine
Qwen2.5-32B-Instruct,0.4,430,0.48372093023255813,0.48372093023255813,0.0,871.5790697674419,1890,871.5790697674419,1890,christine
Qwen2.5-32B-Instruct,0.5,430,0.6395348837209303,0.6395348837209303,0.0,882.1860465116279,1838,882.1860465116279,1838,christine
Qwen2.5-32B-Instruct,0.6,430,0.7348837209302326,0.7348837209302326,0.0,888.6674418604651,1802,888.6674418604651,1802,christine
Qwen2.5-32B-Instruct,0.7,430,0.8348837209302326,0.8348837209302326,0.0,897.2139534883721,2135,897.2139534883721,2135,christine
Qwen2.5-32B-Instruct,0.8,430,0.8953488372093024,0.8953488372093024,0.0,888.8441860465116,1951,888.8441860465116,1951,christine
Qwen2.5-32B-Instruct,0.9,430,0.9209302325581395,0.9209302325581395,0.0,846.2186046511628,1732,846.2186046511628,1732,christine
Qwen2.5-32B-Instruct,1.0,430,0.9813953488372092,0.9813953488372092,0.0,121.9906976744186,1051,121.9906976744186,1051,christine
Qwen2.5-3B-Instruct,0.0,430,0.046511627906976744,0.044186046511627906,0.0069767441860465115,1008.0162790697674,16248,1006.5953488372093,16000,christine
Qwen2.5-3B-Instruct,0.1,430,0.06744186046511629,0.06511627906976744,0.0,963.586046511628,15246,963.586046511628,15246,christine
Qwen2.5-3B-Instruct,0.2,430,0.08837209302325581,0.07906976744186046,0.0,1024.4418604651162,15213,1024.4418604651162,15213,christine
Qwen2.5-3B-Instruct,0.3,430,0.1511627906976744,0.1325581395348837,0.0,1025.639534883721,15113,1025.639534883721,15113,christine
Qwen2.5-3B-Instruct,0.4,430,0.17674418604651163,0.16744186046511628,0.0,1008.1441860465117,15102,1008.1441860465117,15102,christine
Qwen2.5-3B-Instruct,0.5,430,0.2,0.1813953488372093,0.0,1075.925581395349,15091,1075.925581395349,15091,christine
Qwen2.5-3B-Instruct,0.6,430,0.24651162790697675,0.23255813953488372,0.0,1109.5790697674418,15236,1109.5790697674418,15236,christine
Qwen2.5-3B-Instruct,0.7,430,0.3302325581395349,0.3023255813953488,0.0,1097.1023255813955,15152,1097.1023255813955,15152,christine
Qwen2.5-3B-Instruct,0.8,430,0.4232558139534884,0.3953488372093023,0.0,1144.7883720930233,15135,1144.7883720930233,15135,christine
Qwen2.5-3B-Instruct,0.9,430,0.5186046511627908,0.48372093023255813,0.0,1128.960465116279,15372,1128.960465116279,15372,christine
Qwen2.5-3B-Instruct,1.0,430,0.8441860465116279,0.7232558139534884,0.0,551.6372093023256,5230,551.6372093023256,5230,christine
Qwen2.5-7B-Instruct,0.0,430,0.07209302325581396,0.07209302325581396,0.0069767441860465115,1046.6279069767443,16238,1045.1418604651162,16000,christine
Qwen2.5-7B-Instruct,0.1,430,0.1,0.1,0.0,1039.4837209302325,14888,1039.4837209302325,14888,christine
Qwen2.5-7B-Instruct,0.2,430,0.1325581395348837,0.1325581395348837,0.0,1078.7488372093023,15134,1078.7488372093023,15134,christine
Qwen2.5-7B-Instruct,0.3,430,0.1883720930232558,0.1883720930232558,0.0,1159.3720930232557,15024,1159.3720930232557,15024,christine
Qwen2.5-7B-Instruct,0.4,430,0.23488372093023255,0.23488372093023255,0.0,1095.9,15093,1095.9,15093,christine
Qwen2.5-7B-Instruct,0.5,430,0.28604651162790695,0.28604651162790695,0.0,1093.7674418604652,14986,1093.7674418604652,14986,christine
Qwen2.5-7B-Instruct,0.6,430,0.42790697674418604,0.42790697674418604,0.0,1066.239534883721,2574,1066.239534883721,2574,christine
Qwen2.5-7B-Instruct,0.7,430,0.5255813953488372,0.5255813953488372,0.0,1070.6232558139534,15376,1070.6232558139534,15376,christine
Qwen2.5-7B-Instruct,0.8,430,0.6604651162790698,0.6581395348837209,0.0,1061.5302325581395,15424,1061.5302325581395,15424,christine
Qwen2.5-7B-Instruct,0.9,430,0.8093023255813954,0.8046511627906977,0.0,825.6511627906976,2073,825.6511627906976,2073,christine
Qwen2.5-7B-Instruct,1.0,430,0.9651162790697675,0.9604651162790697,0.0,66.89767441860465,1029,66.89767441860465,1029,christine
Qwen3-0.6B,0.0,978,0.15848670756646216,0.1574642126789366,0.15644171779141106,11142.113496932516,33455,10535.684049079755,16000,mixed
Qwen3-0.6B,0.1,979,0.13687436159346272,0.13074565883554648,0.20633299284984677,11042.50153217569,31622,10143.302349336058,16000,mixed
Qwen3-0.6B,0.2,1106,0.17902350813743217,0.1735985533453888,0.1057866184448463,10120.716998191681,31810,9429.656419529838,16000,mixed
Qwen3-0.6B,0.3,951,0.21345951629863302,0.19663512092534174,0.27129337539432175,12298.218717139853,31804,10371.445846477392,16000,mixed
Qwen3-0.6B,0.4,430,0.2255813953488372,0.2255813953488372,0.009302325581395349,11469.013953488373,16267,11467.444186046512,16000,christine
Qwen3-0.6B,0.5,1360,0.3448529411764706,0.3161764705882353,0.13823529411764707,10319.366176470588,33179,9770.721323529411,16000,mixed
Qwen3-0.6B,0.6,430,0.44883720930232557,0.44883720930232557,0.0,8949.548837209302,15126,8949.548837209302,15126,christine
Qwen3-0.6B,0.7,430,0.4046511627906977,0.4046511627906977,0.013953488372093023,10471.0,16220,10469.062790697675,16000,christine
Qwen3-0.6B,0.8,430,0.45813953488372094,0.45813953488372094,0.023255813953488372,9626.26511627907,16277,9624.316279069768,16000,christine
Qwen3-0.6B,0.9,430,0.5837209302325581,0.5837209302325581,0.004651162790697674,8511.06976744186,16234,8510.43488372093,16000,christine
Qwen3-0.6B,1.0,430,0.6744186046511628,0.6744186046511628,0.0069767441860465115,6982.183720930233,16152,6981.488372093023,16000,christine
Qwen3-1.7B,0.0,480,0.3875,0.3375,0.5395833333333333,17566.93125,34804,13101.575,16000,mixed
Qwen3-1.7B,0.1,487,0.4188911704312115,0.36960985626283366,0.4414784394250513,15857.24024640657,33225,12125.014373716633,16000,mixed
Qwen3-1.7B,0.2,490,0.41020408163265304,0.35306122448979593,0.45102040816326533,16397.408163265307,32688,12403.261224489795,16000,mixed
Qwen3-1.7B,0.3,432,0.4212962962962963,0.3472222222222222,0.5092592592592593,17116.421296296296,32824,12500.243055555555,16000,mixed
Qwen3-1.7B,0.4,439,0.5193621867881549,0.428246013667426,0.44419134396355353,15436.353075170842,33539,11877.232346241457,16000,mixed
Qwen3-1.7B,0.5,465,0.5505376344086022,0.44086021505376344,0.4043010752688172,14363.318279569892,34136,11464.860215053763,16000,mixed
Qwen3-1.7B,0.6,430,0.5069767441860465,0.5069767441860465,0.009302325581395349,10850.590697674419,16091,10850.009302325581,16000,christine
Qwen3-1.7B,0.7,476,0.7163865546218487,0.6008403361344538,0.3025210084033613,12506.394957983193,33270,10541.405462184874,16000,mixed
Qwen3-1.7B,0.8,430,0.7116279069767442,0.7093023255813954,0.013953488372093023,9197.206976744186,16293,9195.239534883722,16000,christine
Qwen3-1.7B,0.9,430,0.8976744186046511,0.8976744186046511,0.0,7224.260465116279,15408,7224.260465116279,15408,christine
Qwen3-1.7B,1.0,430,0.9325581395348838,0.9325581395348838,0.0,5659.772093023255,15622,5659.772093023255,15622,christine
Qwen3-14B,0.0,430,0.6441860465116279,0.627906976744186,0.30697674418604654,12070.532558139535,17263,11971.867441860466,16000,christine
Qwen3-14B,0.1,430,0.6790697674418604,0.6790697674418604,0.002325581395348837,10755.337209302326,16072,10755.169767441861,16000,christine
Qwen3-14B,0.2,438,0.8242009132420092,0.7031963470319634,0.271689497716895,12505.54109589041,32884,10656.803652968036,16000,mixed
Qwen3-14B,0.3,430,0.7837209302325582,0.7837209302325582,0.004651162790697674,9489.167441860465,16065,9488.972093023256,16000,christine
Qwen3-14B,0.4,728,0.8914835164835165,0.8392857142857143,0.11538461538461539,9659.603021978022,32936,8961.652472527472,16000,mixed
Qwen3-14B,0.5,529,0.9017013232514177,0.8090737240075614,0.17013232514177692,10166.776937618148,32170,9112.555765595464,16000,mixed
Qwen3-14B,0.6,574,0.9181184668989547,0.837979094076655,0.13763066202090593,9161.151567944251,33280,8321.655052264809,16000,mixed
Qwen3-14B,0.7,563,0.9396092362344582,0.8596802841918295,0.12078152753108348,8442.181172291297,30030,7731.943161634103,16000,mixed
Qwen3-14B,0.8,480,0.9625,0.9354166666666667,0.041666666666666664,6693.891666666666,24668,6571.064583333334,16000,mixed
Qwen3-14B,0.9,504,0.9702380952380952,0.9226190476190477,0.07341269841269842,6766.8234126984125,31351,6448.9067460317465,16000,mixed
Qwen3-14B,1.0,430,0.9465116279069767,0.9465116279069767,0.0,5838.686046511628,15965,5838.686046511628,15965,christine
Qwen3-32B,0.0,430,0.8,0.6488372093023256,0.3558139534883721,14110.495348837208,34045,11614.355813953489,16000,mine
Qwen3-32B,0.1,430,0.8186046511627907,0.6906976744186046,0.26976744186046514,12846.213953488372,32850,10817.988372093023,16000,mine
Qwen3-32B,0.2,430,0.8186046511627907,0.7209302325581395,0.24651162790697675,12157.679069767442,32959,10192.888372093023,16000,mine
Qwen3-32B,0.3,430,0.8325581395348837,0.7325581395348837,0.23488372093023255,11748.197674418605,33357,9934.0,16000,mine
Qwen3-32B,0.4,430,0.8744186046511628,0.7883720930232558,0.1744186046511628,10352.60465116279,32736,9143.906976744185,16000,mine
Qwen3-32B,0.5,430,0.9093023255813953,0.8162790697674419,0.16511627906976745,9753.597674418605,33196,8674.183720930232,16000,mine
Qwen3-32B,0.6,460,0.9326086956521739,0.8543478260869565,0.13043478260869565,8863.758695652174,33027,7934.48695652174,16000,mine
Qwen3-32B,0.7,579,0.8842832469775475,0.842832469775475,0.07599309153713299,6742.26597582038,26601,6518.8203799654575,16000,mine
Qwen3-32B,0.8,430,0.9651162790697675,0.9302325581395349,0.06279069767441861,6785.555813953489,22929,6635.3,16000,mine
Qwen3-32B,0.9,430,0.9720930232558139,0.958139534883721,0.027906976744186046,5924.23488372093,23407,5860.941860465116,16000,mine
Qwen3-32B,1.0,430,0.9813953488372092,0.9418604651162791,0.06744186046511629,6177.26511627907,27126,5953.523255813953,16000,mine
Qwen3-4B,0.0,446,0.695067264573991,0.5134529147982063,0.4798206278026906,16557.32286995516,34039,12663.755605381166,16000,mixed
Qwen3-4B,0.1,430,0.5348837209302325,0.5348837209302325,0.0069767441860465115,11564.972093023256,16126,11564.513953488373,16000,christine
Qwen3-4B,0.2,430,0.6046511627906976,0.6046511627906976,0.0069767441860465115,11150.460465116279,16181,11149.751162790697,16000,christine
Qwen3-4B,0.3,430,0.6139534883720931,0.6139534883720931,0.0,11008.913953488372,15963,11008.913953488372,15963,christine
Qwen3-4B,0.4,430,0.6186046511627907,0.6186046511627907,0.002325581395348837,10737.011627906977,16026,10736.951162790698,16000,christine
Qwen3-4B,0.5,430,0.7116279069767442,0.7116279069767442,0.002325581395348837,9963.076744186046,16100,9962.844186046512,16000,christine
Qwen3-4B,0.6,510,0.8568627450980392,0.7607843137254902,0.20392156862745098,10961.782352941176,33296,9467.945098039216,16000,mixed
Qwen3-4B,0.7,509,0.9351669941060904,0.8526522593320236,0.11591355599214145,8920.28094302554,31668,8369.823182711198,16000,mixed
Qwen3-4B,0.8,1063,0.9661335841956726,0.9369708372530574,0.041392285983066796,7003.825964252117,31492,6803.2248353715895,16000,mixed
Qwen3-4B,0.9,430,0.9767441860465116,0.9767441860465116,0.0,5965.760465116279,15218,5965.760465116279,15218,christine
Qwen3-4B,1.0,430,0.9604651162790697,0.9604651162790697,0.0,5411.76511627907,15988,5411.76511627907,15988,christine
Qwen3-8B,0.0,430,0.5651162790697675,0.5302325581395348,0.40930232558139534,12875.56976744186,17369,12740.472093023256,16000,christine
Qwen3-8B,0.1,430,0.5953488372093023,0.5930232558139535,0.0069767441860465115,11705.658139534884,16245,11704.632558139534,16000,christine
Qwen3-8B,0.2,430,0.5953488372093023,0.5906976744186047,0.011627906976744186,11616.923255813954,16362,11615.609302325582,16000,christine
Qwen3-8B,0.3,556,0.762589928057554,0.6726618705035972,0.26798561151079137,13274.721223021583,32777,11257.559352517985,16000,mixed
Qwen3-8B,0.4,498,0.821285140562249,0.6987951807228916,0.2791164658634538,13060.144578313253,33453,10912.887550200803,16000,mixed
Qwen3-8B,0.5,430,0.7302325581395349,0.7302325581395349,0.0069767441860465115,10135.302325581395,16520,10133.806976744187,16000,christine
Qwen3-8B,0.6,430,0.7488372093023256,0.7465116279069768,0.002325581395348837,9549.337209302326,16382,9548.448837209302,16000,christine
Qwen3-8B,0.7,592,0.8496621621621622,0.847972972972973,0.0033783783783783786,8799.233108108108,16114,8798.949324324325,16000,christine
Qwen3-8B,0.8,642,0.9283489096573209,0.8535825545171339,0.11370716510903427,9161.730529595015,32705,8318.766355140187,16000,mixed
Qwen3-8B,0.9,430,0.8790697674418605,0.8767441860465116,0.002325581395348837,7679.983720930232,16039,7679.893023255814,16000,christine
Qwen3-8B,1.0,430,0.9813953488372092,0.9302325581395349,0.06744186046511629,7343.037209302325,33183,6969.176744186047,16000,mine
gemma-3-12b-it,0.0,430,0.1813953488372093,0.1813953488372093,0.0,1551.3558139534885,3441,1551.3558139534885,3441,mine
gemma-3-12b-it,0.1,430,0.1697674418604651,0.1697674418604651,0.0,1345.8441860465116,2915,1345.8441860465116,2915,mine
gemma-3-12b-it,0.2,430,0.2372093023255814,0.2372093023255814,0.0,1329.3139534883721,3035,1329.3139534883721,3035,mine
gemma-3-12b-it,0.3,430,0.27674418604651163,0.27674418604651163,0.0,1305.7558139534883,2629,1305.7558139534883,2629,mine
gemma-3-12b-it,0.4,430,0.3372093023255814,0.3372093023255814,0.0,1281.8139534883721,2982,1281.8139534883721,2982,mine
gemma-3-12b-it,0.5,430,0.37906976744186044,0.37906976744186044,0.0,1305.7162790697676,3233,1305.7162790697676,3233,mine
gemma-3-12b-it,0.6,430,0.47674418604651164,0.47674418604651164,0.0,1277.2744186046511,2693,1277.2744186046511,2693,mine
gemma-3-12b-it,0.7,430,0.5627906976744186,0.5627906976744186,0.0,1278.9767441860465,2575,1278.9767441860465,2575,mine
gemma-3-12b-it,0.8,430,0.6627906976744186,0.6627906976744186,0.0,1289.1930232558138,3046,1289.1930232558138,3046,mine
gemma-3-12b-it,0.9,430,0.7767441860465116,0.7767441860465116,0.0,1216.172093023256,2779,1216.172093023256,2779,mine
gemma-3-12b-it,1.0,440,0.8590909090909091,0.8590909090909091,0.0,1003.4,2817,1003.4,2817,mine
gemma-3-27b-it,0.0,430,0.2255813953488372,0.2255813953488372,0.0,1579.253488372093,3331,1579.253488372093,3331,mine
gemma-3-27b-it,0.1,430,0.25813953488372093,0.25813953488372093,0.0,1466.9790697674418,2945,1466.9790697674418,2945,mine
gemma-3-27b-it,0.2,430,0.2627906976744186,0.2627906976744186,0.0,1454.3139534883721,3398,1454.3139534883721,3398,mine
gemma-3-27b-it,0.3,430,0.3627906976744186,0.3627906976744186,0.0,1436.7325581395348,3071,1436.7325581395348,3071,mine
gemma-3-27b-it,0.4,430,0.3953488372093023,0.3953488372093023,0.0,1436.6976744186047,3950,1436.6976744186047,3950,mine
gemma-3-27b-it,0.5,430,0.4790697674418605,0.4790697674418605,0.0,1421.9395348837209,3030,1421.9395348837209,3030,mine
gemma-3-27b-it,0.6,516,0.5542635658914729,0.5542635658914729,0.0,1390.6899224806202,3204,1390.6899224806202,3204,mine
gemma-3-27b-it,0.7,430,0.6883720930232559,0.6883720930232559,0.0,1341.2209302325582,3180,1341.2209302325582,3180,mine
gemma-3-27b-it,0.8,430,0.7930232558139535,0.7930232558139535,0.0,1334.9325581395349,3112,1334.9325581395349,3112,mine
gemma-3-27b-it,0.9,430,0.8465116279069768,0.8465116279069768,0.0,1337.574418604651,3158,1337.574418604651,3158,mine
gemma-3-27b-it,1.0,430,0.9279069767441861,0.9279069767441861,0.0,1101.9651162790697,2826,1101.9651162790697,2826,mine
gemma-3-4b-it,0.0,430,0.06279069767441861,0.06279069767441861,0.0,1756.1976744186047,6280,1756.1976744186047,6280,mine
gemma-3-4b-it,0.1,430,0.08139534883720931,0.08139534883720931,0.0,1479.8488372093022,4120,1479.8488372093022,4120,mine
gemma-3-4b-it,0.2,430,0.10465116279069768,0.10465116279069768,0.0,1467.4790697674418,5589,1467.4790697674418,5589,mine
gemma-3-4b-it,0.3,430,0.12558139534883722,0.12558139534883722,0.0,1394.653488372093,3360,1394.653488372093,3360,mine
gemma-3-4b-it,0.4,430,0.19069767441860466,0.19069767441860466,0.0,1438.9511627906977,4857,1438.9511627906977,4857,mine
gemma-3-4b-it,0.5,430,0.2,0.2,0.0,1438.3069767441862,3714,1438.3069767441862,3714,mine
gemma-3-4b-it,0.6,430,0.24651162790697675,0.24651162790697675,0.0,1424.7581395348836,3903,1424.7581395348836,3903,mine
gemma-3-4b-it,0.7,430,0.34651162790697676,0.34651162790697676,0.0,1450.7023255813954,4093,1450.7023255813954,4093,mine
gemma-3-4b-it,0.8,430,0.40232558139534885,0.40232558139534885,0.0,1429.0511627906976,5046,1429.0511627906976,5046,mine
gemma-3-4b-it,0.9,430,0.5116279069767442,0.5116279069767442,0.0,1446.546511627907,3948,1446.546511627907,3948,mine
gemma-3-4b-it,1.0,430,0.7093023255813954,0.7093023255813954,0.0,1215.3116279069768,3996,1215.3116279069768,3996,mine
